trigram,count
de influence de,665
influence de influence,610
de influence deinfluence,193
deinfluence de influence,179
influence deinfluence de,80
ever ever ever,71
nadine burke harris,61
body keeps score,59
influence de influencer,58
home every night,54
de influencer de,50
bear comes home,48
influencer de influence,45
comes home every,42
hai de influence,41
mental health issues,38
adverse childhood experiences,32
de influence gen,29
long term goal,29
van der kolk,29
use social media,28
de influence genz,28
influence deinfluence deinfluence,24
dr nadine burke,24
de influence thank,23
high ace score,21
book body keeps,21
im years old,20
de influence bhai,20
trends de influence,20
