word,count
de,2058
influence,1834
trauma,1455
im,1451
people,1385
like,1260
dont,1170
life,1086
one,873
know,835
years,812
get,770
childhood,770
social,767
thank,759
even,734
much,727
parents,701
would,698
health,680
time,675
children,665
never,663
video,645
think,637
many,634
media,628
abuse,625
help,596
also,589
child,570
feel,560
us,559
deinfluence,551
love,550
really,542
still,536
need,528
ive,528
way,521
want,512
every,489
things,488
kids,487
good,482
talk,458
mental,452
see,440
hai,439
make,434
